Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Format,Category,Type
Apon Mustafizur (Serb),2019-2019,2,2,0,11.0,11,5.5,28,39.28,0,0,1,2,0,T20,Batting,Batting
Atif Kamal (LUX),2019-2019,4,3,0,11.0,11,3.66,18,61.11,0,0,2,1,0,T20,Batting,Batting
A Bulow (DEN),2019-2019,2,1,0,11.0,11,11.0,13,84.61,0,0,0,0,1,T20,Batting,Batting
JD Campbell (WI),2019-2019,2,2,0,11.0,11,5.5,16,68.75,0,0,1,2,0,T20,Batting,Batting
A Djorovic (Serb),2019-2019,2,2,0,11.0,9,5.5,26,42.3,0,0,0,1,0,T20,Batting,Batting
Fayyaz Ahmed (UAE),2015-2015,1,1,0,11.0,11,11.0,12,91.66,0,0,0,2,0,T20,Batting,Batting
S Goustis (),2019-2019,3,1,0,11.0,11,11.0,19,57.89,0,0,0,0,0,T20,Batting,Batting
AJ Hall (SA),2006-2006,2,1,0,11.0,11,11.0,10,110.0,0,0,0,1,0,T20,Batting,Batting
Inzamam-ul-Haq (PAK),2006-2006,1,1,1,11.0,11*,0.0,15,73.33,0,0,0,0,1,T20,Batting,Batting
Khurram Manzoor (PAK),2016-2016,3,3,0,11.0,10,3.66,27,40.74,0,0,1,1,0,T20,Batting,Batting
KS Lokuarachchi (SL),2012-2012,2,2,0,11.0,11,5.5,13,84.61,0,0,1,1,0,T20,Batting,Batting
WK McCallan (IRE),2008-2009,9,3,2,11.0,9*,11.0,15,73.33,0,0,1,1,0,T20,Batting,Batting
OC McCoy (WI),2019-2019,2,2,1,11.0,10,11.0,10,110.0,0,0,0,1,1,T20,Batting,Batting
Mahedi Hasan (BDESH),2018-2018,1,1,0,11.0,11,11.0,11,100.0,0,0,0,1,0,T20,Batting,Batting
WJ Malinda (Mald),2019-2019,3,2,1,11.0,10*,11.0,9,122.22,0,0,0,0,1,T20,Batting,Batting
AK Mandal (NEPAL),2015-2015,2,2,0,11.0,9,5.5,25,44.0,0,0,0,0,0,T20,Batting,Batting
D Marks (MALTA),2019-2019,2,2,2,11.0,6*,0.0,12,91.66,0,0,0,0,0,T20,Batting,Batting
BJ McCarthy (IRE),2017-2018,6,3,1,11.0,11*,5.5,7,157.14,0,0,2,0,1,T20,Batting,Batting
AA Mulla (CAN),2008-2008,4,4,0,11.0,8,2.75,19,57.89,0,0,1,2,0,T20,Batting,Batting
J Reb (Serb),2019-2019,2,2,0,11.0,9,5.5,14,78.57,0,0,0,1,0,T20,Batting,Batting
Saqlain Arshad (QAT),2019-2019,2,1,0,11.0,11,11.0,10,110.0,0,0,0,0,1,T20,Batting,Batting
V Shetty (UAE),2014-2014,2,2,1,11.0,10,11.0,13,84.61,0,0,0,1,0,T20,Batting,Batting
Suresh Kumar (Peru),2019-2019,2,2,1,11.0,10*,11.0,15,73.33,0,0,0,0,0,T20,Batting,Batting
SW Tait (AUS),2007-2016,21,6,2,11.0,6,2.75,15,73.33,0,0,1,0,1,T20,Batting,Batting
P Taylor (CZK-R),2019-2019,7,2,1,11.0,7*,11.0,9,122.22,0,0,0,1,0,T20,Batting,Batting
H Thaker (CAN),2019-2019,1,1,0,11.0,11,11.0,9,122.22,0,0,0,0,1,T20,Batting,Batting
TCW Veillard (GUE),2019-2019,4,2,1,11.0,8,11.0,17,64.7,0,0,0,0,0,T20,Batting,Batting
RM West (IRE),2009-2009,5,4,1,11.0,8,3.66,11,100.0,0,0,0,1,0,T20,Batting,Batting
Yasir Shah (PAK),2011-2011,2,1,1,11.0,11*,0.0,7,157.14,0,0,0,1,0,T20,Batting,Batting
Zeshan Arif (Aut),2019-2019,4,1,1,11.0,11*,0.0,8,137.5,0,0,0,2,0,T20,Batting,Batting
Aftab Ahmed (2) (DEN),2019-2019,1,1,0,10.0,10,10.0,13,76.92,0,0,0,1,0,T20,Batting,Batting
R Avery (),2019-2019,4,3,0,10.0,9,3.33,24,41.66,0,0,1,0,0,T20,Batting,Batting
CS Baugh (WI),2008-2012,3,3,0,10.0,7,3.33,12,83.33,0,0,0,1,0,T20,Batting,Batting
FH Edwards (WI),2007-2012,20,4,2,10.0,7*,5.0,9,111.11,0,0,1,1,0,T20,Batting,Batting
N Pradeep (SL),2016-2019,14,6,5,10.0,8*,10.0,15,66.66,0,0,1,1,0,T20,Batting,Batting
S Hallett (Peru),2019-2019,4,4,0,10.0,5,2.5,16,62.5,0,0,1,1,0,T20,Batting,Batting
MJ Henry (NZ),2014-2017,6,2,1,10.0,10,10.0,5,200.0,0,0,0,2,0,T20,Batting,Batting
S Jyoti (CAN),2008-2008,2,2,1,10.0,10*,10.0,20,50.0,0,0,1,0,0,T20,Batting,Batting
G Kaltongga (VAN),2019-2019,3,2,0,10.0,10,5.0,12,83.33,0,0,1,1,0,T20,Batting,Batting
RWT Key (ENG),2009-2009,1,1,1,10.0,10*,0.0,8,125.0,0,0,0,0,0,T20,Batting,Batting
ZE Matsinhe (Moz),2019-2019,7,4,1,10.0,6*,3.33,17,58.82,0,0,1,0,1,T20,Batting,Batting
Mohammad Ghazanfar (HKG),2019-2019,5,2,1,10.0,6*,10.0,10,100.0,0,0,0,1,0,T20,Batting,Batting
S Nerandzic (Serb),2019-2019,2,2,0,10.0,5,5.0,33,30.3,0,0,0,1,0,T20,Batting,Batting
M Ntini (SA),2005-2011,10,4,2,10.0,5,5.0,11,90.9,0,0,1,2,0,T20,Batting,Batting
PP Ojha (INDIA),2009-2010,6,1,1,10.0,10*,0.0,6,166.66,0,0,0,0,1,T20,Batting,Batting
BA Parchment (WI),2007-2007,1,1,0,10.0,10,10.0,6,166.66,0,0,0,1,1,T20,Batting,Batting
SL Perera (Ghana),2019-2019,2,2,0,10.0,7,5.0,23,43.47,0,0,0,0,0,T20,Batting,Batting
P Raho (PNG),2016-2016,2,2,2,10.0,8*,0.0,6,166.66,0,0,0,0,1,T20,Batting,Batting
SHA Rance (NZ),2017-2019,8,3,0,10.0,8,3.33,21,47.61,0,0,0,0,0,T20,Batting,Batting
A Rangaswamy (Botsw),2019-2019,4,3,0,10.0,7,3.33,13,76.92,0,0,1,0,1,T20,Batting,Batting
D Ravu (PNG),2019-2019,17,4,1,10.0,6,3.33,9,111.11,0,0,1,1,0,T20,Batting,Batting
GA Reynold (Blz),2019-2019,3,2,1,10.0,6*,10.0,10,100.0,0,0,0,0,1,T20,Batting,Batting
ACL Richards (WI),2007-2007,1,1,0,10.0,10,10.0,15,66.66,0,0,0,1,0,T20,Batting,Batting
ZE Surkari (CAN),2008-2008,4,3,0,10.0,6,3.33,33,30.3,0,0,1,0,0,T20,Batting,Batting
SR Tendulkar (INDIA),2006-2006,1,1,0,10.0,10,10.0,12,83.33,0,0,0,2,0,T20,Batting,Batting
MA Wood (ENG),2015-2019,5,2,2,10.0,5*,0.0,12,83.33,0,0,0,1,0,T20,Batting,Batting
Zahoor Khan (UAE),2017-2019,18,5,2,10.0,6,3.33,19,52.63,0,0,0,1,0,T20,Batting,Batting
Zakir Hasan (BDESH),2018-2018,1,1,0,10.0,10,10.0,9,111.11,0,0,0,1,0,T20,Batting,Batting
Abdul Rashid (Belg),2019-2019,1,1,0,9.0,9,9.0,24,37.5,0,0,0,0,0,T20,Batting,Batting
Afsar Zazai (AFG),2013-2013,1,1,0,9.0,9,9.0,21,42.85,0,0,0,0,0,T20,Batting,Batting
Anam Mollik (ITA),2019-2019,2,1,0,9.0,9,9.0,10,90.0,0,0,0,1,0,T20,Batting,Batting
P Arora (Mex),2019-2019,2,2,1,9.0,6*,9.0,4,225.0,0,0,0,0,1,T20,Batting,Batting
HH Banner (Blz),2019-2019,3,2,1,9.0,6,9.0,10,90.0,0,0,0,0,1,T20,Batting,Batting
JJ Celestine (BMUDA),2008-2008,3,3,0,9.0,7,3.0,17,52.94,0,0,1,0,0,T20,Batting,Batting
FRJ Coleman (SCOT),2013-2013,1,1,0,9.0,9,9.0,13,69.23,0,0,0,1,0,T20,Batting,Batting
BM Duckett (ENG),2019-2019,1,1,0,9.0,9,9.0,7,128.57,0,0,0,1,0,T20,Batting,Batting
Elias Sunny (BDESH),2012-2012,7,4,2,9.0,5,4.5,9,100.0,0,0,0,1,0,T20,Batting,Batting
H Hiri (PNG),2016-2019,5,4,0,9.0,4,2.25,15,60.0,0,0,0,0,0,T20,Batting,Batting
Iqbal Hussain (QAT),2019-2019,15,5,3,9.0,4*,4.5,10,90.0,0,0,1,1,0,T20,Batting,Batting
NA Janes (THAI),2019-2019,2,2,0,9.0,9,4.5,11,81.81,0,0,1,1,0,T20,Batting,Batting
Kaleemullah (OMAN),2017-2019,6,2,0,9.0,9,4.5,7,128.57,0,0,1,0,1,T20,Batting,Batting
JS Kundi (KENYA),2019-2019,6,4,0,9.0,6,2.25,22,40.9,0,0,1,1,0,T20,Batting,Batting
R McLaren (SA),2009-2014,12,4,3,9.0,6*,9.0,13,69.23,0,0,0,0,0,T20,Batting,Batting
Mohammad Asif (PAK),2006-2010,11,3,3,9.0,5*,0.0,3,300.0,0,0,0,2,0,T20,Batting,Batting
Muhammad Asjed (ESP),2019-2019,2,1,0,9.0,9,9.0,9,100.0,0,0,0,1,0,T20,Batting,Batting
Muhammad Wafiq (MAL),2019-2019,4,3,1,9.0,6*,4.5,12,75.0,0,0,1,1,0,T20,Batting,Batting
JS Patel (NZ),2005-2008,11,4,1,9.0,5,3.0,14,64.28,0,0,1,1,0,T20,Batting,Batting
WKD Perkins (WI),2008-2008,1,1,0,9.0,9,9.0,11,81.81,0,0,0,1,0,T20,Batting,Batting
VRCF Poubel (),2019-2019,3,3,2,9.0,5*,9.0,15,60.0,0,0,0,0,0,T20,Batting,Batting
A Poulose (OMAN),2017-2017,3,3,0,9.0,9,3.0,14,64.28,0,0,2,2,0,T20,Batting,Batting
KW Richardson (AUS),2014-2019,15,2,0,9.0,9,4.5,8,112.5,0,0,1,0,0,T20,Batting,Batting
IH Romaine (BMUDA),2008-2008,2,2,0,9.0,8,4.5,20,45.0,0,0,0,0,0,T20,Batting,Batting
Sakib Hasan (Serb),2019-2019,2,2,0,9.0,8,4.5,7,128.57,0,0,0,1,0,T20,Batting,Batting
MM Sarwar (KUW),2019-2019,5,3,1,9.0,8,4.5,9,100.0,0,0,1,0,1,T20,Batting,Batting
RAJ Smith (SCOT),2019-2019,2,1,1,9.0,9*,0.0,7,128.57,0,0,0,1,0,T20,Batting,Batting
B Stanlake (AUS),2017-2019,19,2,1,9.0,7,9.0,12,75.0,0,0,0,0,1,T20,Batting,Batting
Syazrul Idrus (MAL),2019-2019,2,1,1,9.0,9*,0.0,8,112.5,0,0,0,1,0,T20,Batting,Batting
Usman Ali (Saudi),2019-2019,5,2,1,9.0,7,9.0,14,64.28,0,0,0,1,0,T20,Batting,Batting
T Wangchuk jnr (BHU),2019-2019,2,2,0,9.0,9,4.5,17,52.94,0,0,1,2,0,T20,Batting,Batting
S Waqas Ahmed (NOR),2019-2019,5,3,1,9.0,8*,4.5,20,45.0,0,0,1,0,0,T20,Batting,Batting
Abbas Saad (Saudi),2019-2019,2,2,0,8.0,8,4.0,8,100.0,0,0,1,1,0,T20,Batting,Batting
S Appu (MALTA),2019-2019,4,4,1,8.0,6,2.66,14,57.14,0,0,0,0,0,T20,Batting,Batting
B Banerjee (Mex),2019-2019,6,4,2,8.0,6*,4.0,18,44.44,0,0,2,0,0,T20,Batting,Batting
AM Blignaut (ZIM),2010-2010,1,1,0,8.0,8,8.0,8,100.0,0,0,0,1,0,T20,Batting,Batting
GH Bodi (SA),2007-2007,1,1,0,8.0,8,8.0,25,32.0,0,0,0,0,0,T20,Batting,Batting
JJ Bumrah (INDIA),2016-2019,42,6,4,8.0,7,4.0,13,61.53,0,0,1,1,0,T20,Batting,Batting
Charanjeet Singh (ITA),2019-2019,3,2,2,8.0,8*,0.0,9,88.88,0,0,0,1,0,T20,Batting,Batting
H Dandapani (Fin),2019-2019,5,3,2,8.0,5,8.0,15,53.33,0,0,0,0,0,T20,Batting,Batting
AS Dean (CAN),2008-2013,2,2,0,8.0,7,4.0,10,80.0,0,0,0,0,0,T20,Batting,Batting
B Fernando (SL),2015-2015,2,1,1,8.0,8*,0.0,12,66.66,0,0,0,1,0,T20,Batting,Batting
JD Freyone (GIBR),2019-2019,4,4,0,8.0,4,2.0,29,27.58,0,0,2,0,0,T20,Batting,Batting
Hamza Dar (ESP),2019-2019,1,1,0,8.0,8,8.0,6,133.33,0,0,0,1,0,T20,Batting,Batting
HMRKB Herath (SL),2011-2016,17,6,3,8.0,3,2.66,12,66.66,0,0,0,0,0,T20,Batting,Batting
E Isaneez (UGA),2019-2019,3,2,2,8.0,7*,0.0,13,61.53,0,0,0,0,0,T20,Batting,Batting
S Randiv (SL),2010-2011,7,2,0,8.0,6,4.0,6,133.33,0,0,0,1,0,T20,Batting,Batting
N Khanna (MALTA),2019-2019,2,2,0,8.0,6,4.0,12,66.66,0,0,0,1,0,T20,Batting,Batting
Khushdil Shah (PAK),2019-2019,1,1,0,8.0,8,8.0,11,72.72,0,0,0,0,0,T20,Batting,Batting
Kuldeep Singh (PHI),2019-2019,4,3,0,8.0,6,2.66,16,50.0,0,0,0,0,0,T20,Batting,Batting
NCK Liyanage (MAL),2019-2019,6,3,1,8.0,8,4.0,8,100.0,0,0,1,1,0,T20,Batting,Batting
BAW Mendis (SL),2008-2014,39,8,5,8.0,4*,2.66,17,47.05,0,0,0,1,0,T20,Batting,Batting
M Mooketsi (Botsw),2019-2019,7,5,0,8.0,3,1.6,24,33.33,0,0,1,0,0,T20,Batting,Batting
Mujeeb Ur Rahman (AFG),2018-2019,16,3,3,8.0,8*,0.0,8,100.0,0,0,0,1,0,T20,Batting,Batting
WA Peatfield (GUE),2019-2019,8,2,1,8.0,7*,8.0,12,66.66,0,0,0,1,0,T20,Batting,Batting
CAK Rajitha (SL),2016-2019,10,4,2,8.0,5,4.0,23,34.78,0,0,1,0,0,T20,Batting,Batting
Shahadat Hossain (BDESH),2006-2013,6,5,3,8.0,4*,4.0,12,66.66,0,0,1,0,0,T20,Batting,Batting
I Sharma (INDIA),2008-2013,14,3,2,8.0,5*,8.0,9,88.88,0,0,1,1,0,T20,Batting,Batting
Simranjit Singh (ITA),2019-2019,1,1,0,8.0,8,8.0,9,88.88,0,0,0,0,0,T20,Batting,Batting
O Thomas (WI),2018-2019,10,4,2,8.0,8*,4.0,11,72.72,0,0,2,2,0,T20,Batting,Batting
R Vishwanath (LUX),2019-2019,2,2,0,8.0,5,4.0,10,80.0,0,0,0,1,0,T20,Batting,Batting
BV Vitori (ZIM),2012-2016,11,2,2,8.0,7*,0.0,7,114.28,0,0,0,0,0,T20,Batting,Batting
Yasar Idrees (KUW),2019-2019,1,1,0,8.0,8,8.0,4,200.0,0,0,0,0,1,T20,Batting,Batting
Al-Amin Hossain (BDESH),2013-2019,28,6,4,7.0,5*,3.5,12,58.33,0,0,1,1,0,T20,Batting,Batting
RP Arnold (SL),2006-2006,1,1,0,7.0,7,7.0,7,100.0,0,0,0,0,0,T20,Batting,Batting
Aslam Mohammad (),2019-2019,3,1,0,7.0,7,7.0,8,87.5,0,0,0,1,0,T20,Batting,Batting
PRP Boissevain (NL),2019-2019,4,2,1,7.0,7*,7.0,7,100.0,0,0,1,1,0,T20,Batting,Batting
NB Budayair (NEPAL),2014-2014,4,3,1,7.0,5,3.5,19,36.84,0,0,1,0,0,T20,Batting,Batting
MA Carberry (ENG),2014-2014,1,1,0,7.0,7,7.0,7,100.0,0,0,0,1,0,T20,Batting,Batting
PKD Chase (IRE),2018-2019,12,5,4,7.0,4,7.0,13,53.84,0,0,0,1,0,T20,Batting,Batting
DK Dahyabhai Ahir (PNM),2019-2019,2,1,0,7.0,7,7.0,10,70.0,0,0,0,1,0,T20,Batting,Batting
P Danci (ROM),2019-2019,2,2,1,7.0,5,7.0,11,63.63,0,0,0,1,0,T20,Batting,Batting
DC Delany (IRE),2019-2019,8,2,0,7.0,7,3.5,6,116.66,0,0,1,0,0,T20,Batting,Batting
P Kumar (INDIA),2008-2012,10,3,0,7.0,6,2.33,16,43.75,0,0,1,0,0,T20,Batting,Batting
Kushal Malla (NEPAL),2019-2019,3,2,0,7.0,5,3.5,15,46.66,0,0,0,1,0,T20,Batting,Batting
RAS Lakmal (SL),2011-2019,11,6,3,7.0,5*,2.33,11,63.63,0,0,2,1,0,T20,Batting,Batting
ND McKenzie (SA),2006-2009,2,1,1,7.0,7*,0.0,8,87.5,0,0,0,0,0,T20,Batting,Batting
S Mahmood (ENG),2019-2019,3,2,1,7.0,4,7.0,7,100.0,0,0,0,1,0,T20,Batting,Batting
A Nao (PNG),2017-2017,2,2,2,7.0,7*,0.0,4,175.0,0,0,0,1,0,T20,Batting,Batting
Naveen-ul-Haq (AFG),2019-2019,4,2,1,7.0,5,7.0,7,100.0,0,0,0,1,0,T20,Batting,Batting
J Nyumbu (ZIM),2018-2018,2,2,2,7.0,6*,0.0,11,63.63,0,0,0,1,0,T20,Batting,Batting
Qadeer Ahmed (UAE),2015-2019,10,4,3,7.0,5*,7.0,12,58.33,0,0,1,1,0,T20,Batting,Batting
LH Rodrigues (),2019-2019,4,3,2,7.0,4*,7.0,12,58.33,0,0,1,1,0,T20,Batting,Batting
GA Rogers (SCOT),2008-2009,2,2,2,7.0,6*,0.0,8,87.5,0,0,0,0,0,T20,Batting,Batting
E Schiferli (NL),2008-2010,7,3,1,7.0,5*,3.5,16,43.75,0,0,1,0,0,T20,Batting,Batting
JN Snape (ENG),2007-2007,1,1,0,7.0,7,7.0,11,63.63,0,0,0,0,0,T20,Batting,Batting
Suhail Sadiq (LUX),2019-2019,2,1,1,7.0,7*,0.0,5,140.0,0,0,0,0,1,T20,Batting,Batting
Sumair Khan (MALTA),2019-2019,1,1,0,7.0,7,7.0,6,116.66,0,0,0,1,0,T20,Batting,Batting
Syed Rasel (BDESH),2007-2008,8,3,1,7.0,6,3.5,9,77.77,0,0,0,1,0,T20,Batting,Batting
Tanveer Ahmed (HKG),2016-2017,5,2,1,7.0,7*,7.0,11,63.63,0,0,1,1,0,T20,Batting,Batting
LV van Beek (NL),2014-2016,8,4,1,7.0,4*,2.33,15,46.66,0,0,0,0,0,T20,Batting,Batting
Adnan Mufti (UAE),2017-2017,1,1,1,6.0,6*,0.0,7,85.71,0,0,0,0,0,T20,Batting,Batting
U Aryaman Sunil (SGP),2019-2019,2,1,0,6.0,6,6.0,4,150.0,0,0,0,0,1,T20,Batting,Batting
TS Braat (NL),2019-2019,3,2,0,6.0,5,3.0,7,85.71,0,0,0,1,0,T20,Batting,Batting
DG Brownlie (NZ),2010-2014,5,5,0,6.0,5,1.2,18,33.33,0,0,3,1,0,T20,Batting,Batting
DE Burgess (Samoa),2019-2019,4,4,0,6.0,3,1.5,12,50.0,0,0,2,0,0,T20,Batting,Batting
SDJJ Dima (Moz),2019-2019,4,2,0,6.0,3,3.0,8,75.0,0,0,0,0,0,T20,Batting,Batting
RMS Eranga (SL),2012-2013,3,1,0,6.0,6,6.0,7,85.71,0,0,0,1,0,T20,Batting,Batting
L Evile (Samoa),2019-2019,4,1,0,6.0,6,6.0,7,85.71,0,0,0,1,0,T20,Batting,Batting
NM Hauritz (AUS),2009-2009,3,2,0,6.0,4,3.0,10,60.0,0,0,0,1,0,T20,Batting,Batting
R Hekure (PNG),2019-2019,8,4,1,6.0,2*,2.0,12,50.0,0,0,0,0,0,T20,Batting,Batting
PJ Hughes (AUS),2014-2014,1,1,0,6.0,6,6.0,8,75.0,0,0,0,1,0,T20,Batting,Batting
Javed Ahmadi (AFG),2012-2017,3,2,0,6.0,6,3.0,7,85.71,0,0,1,1,0,T20,Batting,Batting
Jay Odedra (OMAN),2019-2019,3,1,1,6.0,6*,0.0,6,100.0,0,0,0,0,0,T20,Batting,Batting
D Maisuria (Botsw),2019-2019,6,3,2,6.0,6*,6.0,11,54.54,0,0,1,0,0,T20,Batting,Batting
I Master (Botsw),2019-2019,2,2,0,6.0,4,3.0,8,75.0,0,0,0,1,0,T20,Batting,Batting
Z McLaughlin (Caym),2019-2019,3,2,2,6.0,4*,0.0,16,37.5,0,0,0,0,0,T20,Batting,Batting
KO Meth (ZIM),2012-2012,2,1,1,6.0,6*,0.0,6,100.0,0,0,0,0,0,T20,Batting,Batting
J Mulder (IRE),2016-2017,8,4,2,6.0,5*,3.0,11,54.54,0,0,1,0,0,T20,Batting,Batting
GBW Munaweera (QAT),2019-2019,5,1,1,6.0,6*,0.0,7,85.71,0,0,0,0,0,T20,Batting,Batting
L Ngidi (SA),2017-2018,7,2,1,6.0,4,6.0,9,66.66,0,0,0,0,0,T20,Batting,Batting
Omar Hayat (DEN),2019-2019,2,2,0,6.0,5,3.0,4,150.0,0,0,0,0,0,T20,Batting,Batting
JA Rudolph (SA),2006-2006,1,1,1,6.0,6*,0.0,7,85.71,0,0,0,0,0,T20,Batting,Batting
Shoaib Ali (Saudi),2019-2019,5,2,0,6.0,6,3.0,10,60.0,0,0,1,0,0,T20,Batting,Batting
OF Smith (WI),2018-2018,2,1,0,6.0,6,6.0,5,120.0,0,0,0,1,0,T20,Batting,Batting
R Strydom (IRE),2008-2008,4,2,1,6.0,5*,6.0,7,85.71,0,0,0,0,0,T20,Batting,Batting
HER Tyler (PHI),2019-2019,2,1,0,6.0,6,6.0,9,66.66,0,0,0,0,0,T20,Batting,Batting
TC Vine (ESP),2019-2019,6,1,1,6.0,6*,0.0,7,85.71,0,0,0,1,0,T20,Batting,Batting
CA Young (IRE),2015-2019,26,7,5,6.0,2*,3.0,11,54.54,0,0,0,0,0,T20,Batting,Batting
SA Abbott (AUS),2014-2019,4,1,0,5.0,5,5.0,8,62.5,0,0,0,1,0,T20,Batting,Batting
M Ansari (OMAN),2015-2016,11,4,4,5.0,3*,0.0,10,50.0,0,0,0,0,0,T20,Batting,Batting
Anwar Rahman (MAL),2019-2019,9,4,1,5.0,3*,1.66,8,62.5,0,0,1,0,0,T20,Batting,Batting
Arslan Ahmed (),2019-2019,3,1,0,5.0,5,5.0,13,38.46,0,0,0,0,0,T20,Batting,Batting
MS Atapattu (SL),2006-2006,2,1,0,5.0,5,5.0,8,62.5,0,0,0,0,0,T20,Batting,Batting
Atif Mehmood (ESP),2019-2019,9,2,2,5.0,5*,0.0,8,62.5,0,0,0,0,0,T20,Batting,Batting
MA Baig (MWI),2019-2019,7,4,0,5.0,5,1.25,12,41.66,0,0,3,1,0,T20,Batting,Batting
A Bhagwat (HKG),2019-2019,4,4,0,5.0,3,1.25,16,31.25,0,0,1,0,0,T20,Batting,Batting
A Bohara (NEPAL),2019-2019,17,5,2,5.0,3*,1.66,12,41.66,0,0,2,0,0,T20,Batting,Batting
IG Butler (NZ),2009-2013,19,6,5,5.0,2*,5.0,10,50.0,0,0,0,0,0,T20,Batting,Batting
T Caruana (GIBR),2019-2019,2,1,0,5.0,5,5.0,13,38.46,0,0,0,0,0,T20,Batting,Batting
Hasheem Shahzad (MALTA),2019-2019,2,2,0,5.0,5,2.5,9,55.55,0,0,1,1,0,T20,Batting,Batting
Imran Ali (KUW),2019-2019,4,2,1,5.0,5*,5.0,6,83.33,0,0,1,0,0,T20,Batting,Batting
Junaid Siddique (UAE),2019-2019,8,4,1,5.0,3,1.66,17,29.41,0,0,1,0,0,T20,Batting,Batting
I Katzarski (),2019-2019,3,2,0,5.0,3,2.5,12,41.66,0,0,0,0,0,T20,Batting,Batting
D Kegasitswe (Botsw),2019-2019,4,2,2,5.0,4*,0.0,11,45.45,0,0,0,0,0,T20,Batting,Batting
TCR Kimber (GUE),2019-2019,3,3,0,5.0,2,1.66,13,38.46,0,0,0,0,0,T20,Batting,Batting
A Krishna (SGP),2019-2019,4,2,1,5.0,4,5.0,3,166.66,0,0,0,1,0,T20,Batting,Batting
AM McCarthy (WI),2018-2018,1,1,0,5.0,5,5.0,8,62.5,0,0,0,0,0,T20,Batting,Batting
GD McGrath (AUS),2005-2005,2,1,0,5.0,5,5.0,12,41.66,0,0,0,0,0,T20,Batting,Batting
CS Martin (NZ),2007-2008,6,1,1,5.0,5*,0.0,6,83.33,0,0,0,0,0,T20,Batting,Batting
Mohammad Hasnain (PAK),2019-2019,4,3,2,5.0,4*,5.0,12,41.66,0,0,0,1,0,T20,Batting,Batting
Mohammad Salman (PAK),2011-2011,1,1,0,5.0,5,5.0,6,83.33,0,0,0,0,0,T20,Batting,Batting
A Morris (Caym),2019-2019,6,4,2,5.0,3*,2.5,17,29.41,0,0,1,0,0,T20,Batting,Batting
GRD Munasinghe (ITA),2019-2019,8,4,1,5.0,4*,1.66,13,38.46,0,0,2,1,0,T20,Batting,Batting
T Mupariwa (ZIM),2007-2008,4,2,2,5.0,3*,0.0,3,166.66,0,0,0,0,0,T20,Batting,Batting
N M'shangwe (ZIM),2013-2014,5,2,1,5.0,5*,5.0,4,125.0,0,0,1,1,0,T20,Batting,Batting
A Nanda (LUX),2019-2019,3,1,0,5.0,5,5.0,5,100.0,0,0,0,1,0,T20,Batting,Batting
GM Ntambalika (MWI),2019-2019,3,1,0,5.0,5,5.0,11,45.45,0,0,0,0,0,T20,Batting,Batting
Parvez Rasool (INDIA),2017-2017,1,1,0,5.0,5,5.0,6,83.33,0,0,0,0,0,T20,Batting,Batting
NK Patel (USA),2019-2019,4,2,1,5.0,5*,5.0,10,50.0,0,0,1,0,0,T20,Batting,Batting
D Paterson (SA),2017-2018,8,2,1,5.0,4*,5.0,2,250.0,0,0,0,1,0,T20,Batting,Batting
JL Pattinson (AUS),2011-2012,4,2,2,5.0,5*,0.0,3,166.66,0,0,0,1,0,T20,Batting,Batting
JE Pitcher (BMUDA),2019-2019,3,1,1,5.0,5*,0.0,4,125.0,0,0,0,0,0,T20,Batting,Batting
AG Prince (SA),2005-2005,1,1,0,5.0,5,5.0,6,83.33,0,0,0,0,0,T20,Batting,Batting
K Rabada (SA),2014-2019,21,4,2,5.0,5*,2.5,12,41.66,0,0,2,0,0,T20,Batting,Batting
RJ Ranpura (OMAN),2015-2016,3,2,2,5.0,5*,0.0,8,62.5,0,0,0,0,0,T20,Batting,Batting
BM Scholtz (NAM),2019-2019,14,4,3,5.0,3*,5.0,10,50.0,0,0,1,0,0,T20,Batting,Batting
RJ Sidebottom (ENG),2007-2010,18,1,1,5.0,5*,0.0,4,125.0,0,0,0,1,0,T20,Batting,Batting
M Spry (Peru),2019-2019,4,2,1,5.0,3*,5.0,11,45.45,0,0,0,0,0,T20,Batting,Batting
R Telemachus (SA),2006-2007,3,1,1,5.0,5*,0.0,3,166.66,0,0,0,0,0,T20,Batting,Batting
BM Tickner (NZ),2019-2019,3,1,1,5.0,5*,0.0,6,83.33,0,0,0,0,0,T20,Batting,Batting
DR Tuffey (NZ),2005-2010,3,2,1,5.0,5*,5.0,5,100.0,0,0,1,1,0,T20,Batting,Batting
C Vorster (GUE),2019-2019,1,1,0,5.0,5,5.0,8,62.5,0,0,0,0,0,T20,Batting,Batting
TD Astle (NZ),2016-2019,3,2,0,4.0,3,2.0,10,40.0,0,0,0,0,0,T20,Batting,Batting
Baljit Singh (ITA),2019-2019,8,3,0,4.0,3,1.33,16,25.0,0,0,1,0,0,T20,Batting,Batting
GJ Batty (ENG),2009-2009,1,1,0,4.0,4,4.0,7,57.14,0,0,0,0,0,T20,Batting,Batting
P Bharat Patel (PNM),2019-2019,2,1,1,4.0,4*,0.0,7,57.14,0,0,0,0,0,T20,Batting,Batting
SR Bhudia (KENYA),2019-2019,4,3,1,4.0,3,2.0,16,25.0,0,0,1,0,0,T20,Batting,Batting
JAR Blain (SCOT),2007-2008,6,3,1,4.0,3*,2.0,5,80.0,0,0,1,0,0,T20,Batting,Batting
