Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Format,Category,Type
TG Southee (NZ),2008-2019,140,138,7021,6373,186.0,7/33,34.26,5.44,37.7,4,3,ODI,Bowling,Bowling
Saeed Ajmal (PAK),2008-2015,113,112,6000,4182,184.0,5/24,22.72,4.18,32.6,6,2,ODI,Bowling,Bowling
Aaqib Javed (PAK),1988-1998,163,159,8012,5721,182.0,7/37,31.43,4.28,44.0,2,4,ODI,Bowling,Bowling
Imran Khan (PAK),1974-1992,175,153,7461,4844,182.0,6/14,26.61,3.89,40.9,3,1,ODI,Bowling,Bowling
RA Jadeja (INDIA),2009-2019,159,155,8029,6552,181.0,5/36,36.19,4.89,44.3,7,1,ODI,Bowling,Bowling
Umar Gul (PAK),2003-2016,130,128,6064,5253,179.0,6/42,29.34,5.19,33.8,4,2,ODI,Bowling,Bowling
SCJ Broad (ENG),2006-2016,121,121,6109,5364,178.0,5/23,30.13,5.26,34.3,9,1,ODI,Bowling,Bowling
NW Bracken (AUS),2001-2009,116,116,5759,4240,174.0,5/47,24.36,4.41,33.0,5,2,ODI,Bowling,Bowling
Imran Tahir (SA),2011-2019,107,104,5541,4297,173.0,7/45,24.83,4.65,32.0,7,3,ODI,Bowling,Bowling
JDP Oram (NZ),2001-2012,160,154,6911,5047,173.0,5/26,29.17,4.38,39.9,3,2,ODI,Bowling,Bowling
IK Pathan (INDIA),2004-2012,120,118,5855,5142,173.0,5/27,29.72,5.26,33.8,5,2,ODI,Bowling,Bowling
MA Starc (AUS),2010-2019,85,85,4315,3611,172.0,6/28,20.99,5.02,25.0,11,7,ODI,Bowling,Bowling
NLTC Perera (SL),2009-2019,161,152,5711,5556,171.0,6/44,32.49,5.83,33.3,5,4,ODI,Bowling,Bowling
A Flintoff (ENG/ICC),1999-2009,141,119,5624,4121,169.0,5/19,24.38,4.39,33.2,6,2,ODI,Bowling,Bowling
SR Watson (AUS),2002-2015,190,163,6466,5342,168.0,4/36,31.79,4.95,38.4,3,0,ODI,Bowling,Bowling
CH Gayle (ICC/WI),1999-2019,301,199,7424,5926,167.0,5/46,35.48,4.78,44.4,3,1,ODI,Bowling,Bowling
TA Boult (NZ),2012-2019,89,89,4884,4111,164.0,7/34,25.06,5.05,29.7,7,5,ODI,Bowling,Bowling
Mushtaq Ahmed (PAK),1989-2003,144,142,7543,5361,161.0,5/36,33.29,4.26,46.8,3,1,ODI,Bowling,Bowling
Sir RJ Hadlee (NZ),1973-1990,115,112,6182,3407,158.0,5/25,21.56,3.3,39.1,1,5,ODI,Bowling,Bowling
Shoaib Malik (PAK),1999-2019,287,217,7958,6192,158.0,4/19,39.18,4.66,50.3,1,0,ODI,Bowling,Bowling
MD Marshall (WI),1980-1992,136,134,7175,4233,157.0,4/18,26.96,3.53,45.7,6,0,ODI,Bowling,Bowling
A Nehra (Asia/INDIA),2001-2011,120,120,5751,4981,157.0,6/23,31.72,5.19,36.6,5,2,ODI,Bowling,Bowling
M Prabhakar (INDIA),1984-1996,130,127,6360,4534,157.0,5/33,28.87,4.27,40.5,4,2,ODI,Bowling,Bowling
GB Hogg (AUS),1996-2008,123,113,5564,4188,156.0,5/32,26.84,4.51,35.6,3,2,ODI,Bowling,Bowling
SR Tendulkar (INDIA),1989-2012,463,270,8054,6850,154.0,5/32,44.48,5.1,52.2,4,2,ODI,Bowling,Bowling
BAW Mendis (SL),2008-2015,87,84,4154,3324,152.0,6/13,21.86,4.8,27.3,7,3,ODI,Bowling,Bowling
UDU Chandana (SL),1994-2007,147,136,6142,4818,151.0,5/61,31.9,4.7,40.6,4,1,ODI,Bowling,Bowling
R Ashwin (INDIA),2010-2017,111,109,6021,4937,150.0,4/25,32.91,4.91,40.1,1,0,ODI,Bowling,Bowling
SE Bond (NZ),2002-2010,82,80,4295,3070,147.0,6/19,20.88,4.28,29.2,7,4,ODI,Bowling,Bowling
J Garner (WI),1977-1987,98,98,5330,2752,146.0,5/31,18.84,3.09,36.5,2,3,ODI,Bowling,Bowling
IT Botham (ENG),1976-1992,116,115,6271,4139,145.0,4/31,28.54,3.96,43.2,3,0,ODI,Bowling,Bowling
TM Odoyo (Afr/KENYA),1996-2014,136,129,5649,4335,145.0,4/25,29.89,4.6,38.9,5,0,ODI,Bowling,Bowling
AU Rashid (ENG),2009-2019,99,93,4851,4547,143.0,5/27,31.79,5.62,33.9,7,2,ODI,Bowling,Bowling
JN Gillespie (AUS),1996-2005,97,96,5144,3611,142.0,5/22,25.42,4.21,36.2,3,3,ODI,Bowling,Bowling
MA Holding (WI),1976-1987,102,102,5473,3034,142.0,5/26,21.36,3.32,38.5,5,1,ODI,Bowling,Bowling
CR Woakes (ENG),2011-2019,99,95,4638,4327,142.0,6/45,30.47,5.59,32.6,9,3,ODI,Bowling,Bowling
EJ Chatfield (NZ),1979-1989,114,112,6065,3618,140.0,5/34,25.84,3.57,43.3,3,1,ODI,Bowling,Bowling
Mohammad Hafeez (PAK),2003-2019,218,177,7733,5400,139.0,4/41,38.84,4.18,55.6,1,0,ODI,Bowling,Bowling
HDPK Dharmasena (SL),1994-2004,141,134,7009,4998,138.0,4/37,36.21,4.27,50.7,1,0,ODI,Bowling,Bowling
SB Styris (NZ),1999-2011,188,161,6114,4839,137.0,6/25,35.32,4.74,44.6,4,1,ODI,Bowling,Bowling
Mohammed Shami (INDIA),2013-2019,73,72,3709,3400,136.0,5/69,25.0,5.5,27.2,8,1,ODI,Bowling,Bowling
MF Maharoof (SL),2004-2016,109,105,4640,3789,135.0,6/14,28.06,4.89,34.3,4,2,ODI,Bowling,Bowling
LE Plunkett (ENG),2005-2019,89,87,4137,4010,135.0,5/52,29.7,5.81,30.6,6,1,ODI,Bowling,Bowling
DW Fleming (AUS),1994-2001,88,88,4619,3402,134.0,5/36,25.38,4.41,34.4,4,1,ODI,Bowling,Bowling
JO Holder (WI),2013-2019,112,108,5179,4777,133.0,5/27,35.91,5.53,38.9,4,2,ODI,Bowling,Bowling
Rashid Khan (AFG),2015-2019,71,67,3558,2467,133.0,7/18,18.54,4.16,26.7,4,4,ODI,Bowling,Bowling
A Symonds (AUS),1998-2009,198,158,5935,4955,133.0,5/18,37.25,5.0,44.6,2,1,ODI,Bowling,Bowling
P Utseya (ZIM),2004-2015,164,160,8571,6239,133.0,5/36,46.9,4.36,64.4,2,1,ODI,Bowling,Bowling
Abdul Qadir (PAK),1983-1993,104,100,5100,3454,132.0,5/44,26.16,4.06,38.6,4,2,ODI,Bowling,Bowling
B Kumar (INDIA),2012-2019,114,113,5451,4568,132.0,5/42,34.6,5.02,41.2,4,1,ODI,Bowling,Bowling
M Dillon (WI),1997-2005,108,107,5480,4218,130.0,5/29,32.44,4.61,42.1,3,3,ODI,Bowling,Bowling
Mohammad Nabi (AFG),2009-2019,124,120,5919,4231,130.0,4/30,32.54,4.28,45.5,3,0,ODI,Bowling,Bowling
RJ Shastri (INDIA),1981-1992,150,136,6613,4650,129.0,5/15,36.04,4.21,51.2,2,1,ODI,Bowling,Bowling
JE Taylor (WI),2003-2017,90,88,4341,3780,128.0,5/48,29.53,5.22,33.9,3,1,ODI,Bowling,Bowling
DK Morrison (NZ),1987-1996,96,95,4586,3470,126.0,5/34,27.53,4.53,36.3,1,2,ODI,Bowling,Bowling
Rubel Hossain (BDESH),2009-2019,101,99,4540,4300,126.0,6/26,34.12,5.68,36.0,7,1,ODI,Bowling,Bowling
Mohammad Rafique (Asia/BDESH),1995-2007,125,124,6414,4739,125.0,5/47,37.91,4.43,51.3,3,1,ODI,Bowling,Bowling
KAJ Roach (WI),2008-2019,92,90,4459,3763,124.0,6/27,30.34,5.06,35.9,3,3,ODI,Bowling,Bowling
Azhar Mahmood (PAK),1996-2007,143,139,6242,4813,123.0,6/18,39.13,4.62,50.7,2,3,ODI,Bowling,Bowling
Mohammad Sami (PAK),2001-2015,87,85,4284,3567,121.0,5/10,29.47,4.99,35.4,3,1,ODI,Bowling,Bowling
AG Cremer (ZIM),2009-2018,96,95,4680,3597,119.0,6/46,30.22,4.61,39.3,4,3,ODI,Bowling,Bowling
IR Bishop (WI),1988-1997,84,83,4332,3127,118.0,5/25,26.5,4.33,36.7,7,2,ODI,Bowling,Bowling
IVA Richards (WI),1975-1991,187,131,5644,4228,118.0,6/41,35.83,4.49,47.8,1,2,ODI,Bowling,Bowling
K Rabada (SA),2015-2019,75,73,3842,3199,117.0,6/16,27.34,4.99,32.8,6,1,ODI,Bowling,Bowling
R Rampaul (WI),2003-2015,92,88,4033,3434,117.0,5/49,29.35,5.1,34.4,8,2,ODI,Bowling,Bowling
Dawlat Zadran (AFG),2011-2019,82,80,3769,3423,115.0,4/22,29.76,5.44,32.7,3,0,ODI,Bowling,Bowling
PAJ DeFreitas (ENG),1987-1997,103,103,5712,3775,115.0,4/35,32.82,3.96,49.6,1,0,ODI,Bowling,Bowling
AD Mathews (SL),2008-2019,214,155,5083,3907,115.0,6/20,33.97,4.61,44.2,1,1,ODI,Bowling,Bowling
I Sharma (INDIA),2007-2016,80,78,3733,3563,115.0,4/34,30.98,5.72,32.4,6,0,ODI,Bowling,Bowling
Wahab Riaz (PAK),2008-2019,89,88,4209,4011,115.0,5/46,34.87,5.71,36.6,4,1,ODI,Bowling,Bowling
WJ Cronje (SA),1992-2000,188,153,5357,3966,114.0,5/32,34.78,4.44,46.9,1,1,ODI,Bowling,Bowling
MC Snedden (NZ),1980-1990,93,90,4525,3237,114.0,4/34,28.39,4.29,39.6,1,0,ODI,Bowling,Bowling
GR Larsen (NZ),1990-1999,121,119,6368,4000,113.0,4/24,35.39,3.76,56.3,1,0,ODI,Bowling,Bowling
KJ O'Brien (IRE),2006-2019,142,113,4224,3672,113.0,4/13,32.49,5.21,37.3,5,0,ODI,Bowling,Bowling
