Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Format,Category,Type
RT Lyons (SCOT),2006-2010,25,23,1093,901,20.0,3/21,45.05,4.94,54.6,0,0,ODI,Bowling,Bowling
N Madziva (ZIM),2014-2016,12,12,520,519,20.0,4/49,25.95,5.98,26.0,1,0,ODI,Bowling,Bowling
JO Ngoche (KENYA),2010-2013,17,17,878,569,20.0,3/18,28.45,3.88,43.9,0,0,ODI,Bowling,Bowling
KMA Paul (WI),2018-2019,16,16,740,737,20.0,3/44,36.85,5.97,37.0,0,0,ODI,Bowling,Bowling
NO Perry (WI),1999-2000,21,21,946,783,20.0,3/45,39.15,4.96,47.3,0,0,ODI,Bowling,Bowling
N Pokana (PNG),2017-2019,14,14,641,503,20.0,3/25,25.15,4.7,32.0,0,0,ODI,Bowling,Bowling
Rashid Khan (PAK),1980-1985,29,28,1414,923,20.0,3/47,46.15,3.91,70.7,0,0,ODI,Bowling,Bowling
DA Reeve (ENG),1991-1996,29,28,1147,820,20.0,3/20,41.0,4.28,57.3,0,0,ODI,Bowling,Bowling
Shoaib Mohammad (PAK),1984-1993,63,35,919,725,20.0,3/20,36.25,4.73,45.9,0,0,ODI,Bowling,Bowling
RML Taylor (SCOT),2013-2016,15,15,713,617,20.0,3/39,30.85,5.19,35.6,0,0,ODI,Bowling,Bowling
MHN Walker (AUS),1974-1981,17,17,1006,546,20.0,4/19,27.3,3.25,50.3,1,0,ODI,Bowling,Bowling
GG Arnold (ENG),1972-1975,14,13,714,339,19.0,4/27,17.84,2.84,37.5,1,0,ODI,Bowling,Bowling
PVD Chameera (SL),2015-2019,23,23,895,796,19.0,3/20,41.89,5.33,47.1,0,0,ODI,Bowling,Bowling
TM Chappell (AUS),1980-1983,20,14,736,538,19.0,3/31,28.31,4.38,38.7,0,0,ODI,Bowling,Bowling
Enamul Haque (BDESH),1990-2002,29,28,1238,1083,19.0,2/40,57.0,5.24,65.1,0,0,ODI,Bowling,Bowling
AW Greig (ENG),1972-1977,22,19,916,619,19.0,4/45,32.57,4.05,48.2,1,0,ODI,Bowling,Bowling
VA Holder (WI),1973-1978,12,12,681,454,19.0,5/50,23.89,4.0,35.8,0,1,ODI,Bowling,Bowling
RD Jackman (ENG),1974-1983,15,15,873,598,19.0,3/41,31.47,4.1,45.9,0,0,ODI,Bowling,Bowling
DS Kulkarni (INDIA),2014-2016,12,12,598,508,19.0,4/34,26.73,5.09,31.4,1,0,ODI,Bowling,Bowling
MA Leask (SCOT),2014-2019,34,31,1142,1019,19.0,4/37,53.63,5.35,60.1,1,0,ODI,Bowling,Bowling
BJ McKechnie (NZ),1975-1981,14,14,818,495,19.0,3/23,26.05,3.63,43.0,0,0,ODI,Bowling,Bowling
JN Maguire (AUS),1983-1984,23,20,1009,769,19.0,3/61,40.47,4.57,53.1,0,0,ODI,Bowling,Bowling
Mohammad Akram (PAK),1995-2000,23,21,989,790,19.0,2/28,41.57,4.79,52.0,0,0,ODI,Bowling,Bowling
Mushfiqur Rahman (BDESH),2000-2004,28,28,1332,983,19.0,2/21,51.73,4.42,70.1,0,0,ODI,Bowling,Bowling
PDRL Perera (SL),1999-2007,19,19,888,820,19.0,3/23,43.15,5.54,46.7,0,0,ODI,Bowling,Bowling
Shahid Nazir (PAK),1996-2000,17,17,810,649,19.0,3/14,34.15,4.8,42.6,0,0,ODI,Bowling,Bowling
T Shamsi (SA),2016-2019,17,17,879,798,19.0,4/33,42.0,5.44,46.2,1,0,ODI,Bowling,Bowling
M Sheikh (KENYA),1997-2000,21,21,778,625,19.0,4/36,32.89,4.82,40.9,1,0,ODI,Bowling,Bowling
Sohail Khan (PAK),2008-2016,13,13,666,597,19.0,5/55,31.42,5.37,35.0,0,1,ODI,Bowling,Bowling
Tanwir Afzal (HKG),2014-2018,20,19,852,601,19.0,3/20,31.63,4.23,44.8,0,0,ODI,Bowling,Bowling
AJ Traicos (ZIM),1983-1993,27,26,1524,987,19.0,3/35,51.94,3.88,80.2,0,0,ODI,Bowling,Bowling
PCR Tufnell (ENG),1990-1997,20,20,1020,699,19.0,4/22,36.78,4.11,53.6,1,0,ODI,Bowling,Bowling
Anwar Ali (PAK),2013-2016,22,22,927,944,18.0,3/66,52.44,6.11,51.5,0,0,ODI,Bowling,Bowling
GD Campbell (AUS),1989-1990,12,12,613,404,18.0,3/17,22.44,3.95,34.0,0,0,ODI,Bowling,Bowling
RO Collinge (NZ),1973-1978,15,15,859,479,18.0,5/23,26.61,3.34,47.7,0,1,ODI,Bowling,Bowling
MD Dai (PNG),2014-2018,18,18,954,675,18.0,3/58,37.5,4.24,53.0,0,0,ODI,Bowling,Bowling
DR Gilbert (AUS),1986-1986,14,14,684,552,18.0,5/46,30.66,4.84,38.0,0,1,ODI,Bowling,Bowling
DJ Hussey (AUS),2008-2013,69,39,802,698,18.0,4/21,38.77,5.22,44.5,2,0,ODI,Bowling,Bowling
BD Julien (WI),1973-1977,12,12,778,463,18.0,4/20,25.72,3.57,43.2,2,0,ODI,Bowling,Bowling
AP Kuiper (SA),1991-1996,25,19,588,518,18.0,3/33,28.77,5.28,32.6,0,0,ODI,Bowling,Bowling
J Lewis (ENG),2005-2007,13,13,716,500,18.0,4/36,27.77,4.18,39.7,1,0,ODI,Bowling,Bowling
CS Martin (NZ),2001-2008,20,19,948,804,18.0,3/62,44.66,5.08,52.6,0,0,ODI,Bowling,Bowling
Mohammad Ashraful (Asia/BDESH),2001-2013,177,40,697,661,18.0,3/26,36.72,5.69,38.7,0,0,ODI,Bowling,Bowling
B Muzarabani (ZIM),2018-2018,18,18,786,733,18.0,4/47,40.72,5.59,43.6,1,0,ODI,Bowling,Bowling
MV Nagamootoo (WI),2000-2002,24,24,1189,998,18.0,4/32,55.44,5.03,66.0,1,0,ODI,Bowling,Bowling
AH Omarshah (ZIM),1983-1996,28,25,1077,812,18.0,3/33,45.11,4.52,59.8,0,0,ODI,Bowling,Bowling
Rahat Ali (PAK),2012-2016,14,14,679,658,18.0,3/40,36.55,5.81,37.7,0,0,ODI,Bowling,Bowling
KT Sandher (CAN),2006-2007,15,15,696,569,18.0,3/24,31.61,4.9,38.6,0,0,ODI,Bowling,Bowling
GC Smith (Afr/SA),2002-2013,197,43,1026,951,18.0,3/30,52.83,5.56,57.0,0,0,ODI,Bowling,Bowling
CB Sole (SCOT),2016-2018,11,11,522,468,18.0,4/28,26.0,5.37,29.0,2,0,ODI,Bowling,Bowling
RE van der Merwe (NL/SA),2009-2019,15,15,789,658,18.0,3/27,36.55,5.0,43.8,0,0,ODI,Bowling,Bowling
KC Wessels (AUS/SA),1983-1994,109,23,749,666,18.0,2/16,37.0,5.33,41.6,0,0,ODI,Bowling,Bowling
AG Wharf (ENG),2004-2005,13,13,584,428,18.0,4/24,23.77,4.39,32.4,1,0,ODI,Bowling,Bowling
LR Williams (WI),1996-2001,15,15,659,556,18.0,3/16,30.88,5.06,36.6,0,0,ODI,Bowling,Bowling
Adeel Raja (NL),2002-2011,21,21,846,690,17.0,4/42,40.58,4.89,49.7,1,0,ODI,Bowling,Bowling
DJ Capel (ENG),1987-1990,23,22,1038,805,17.0,3/38,47.35,4.65,61.0,0,0,ODI,Bowling,Bowling
EAR de Silva (SL),1986-1992,28,28,1374,967,17.0,3/38,56.88,4.22,80.8,0,0,ODI,Bowling,Bowling
MV Fleming (ENG),1997-1998,11,11,523,434,17.0,4/45,25.52,4.97,30.7,1,0,ODI,Bowling,Bowling
HH Kanitkar (INDIA),1997-2000,34,28,1006,803,17.0,2/22,47.23,4.78,59.1,0,0,ODI,Bowling,Bowling
JJC Lawson (WI),2001-2005,13,12,558,498,17.0,4/57,29.29,5.35,32.8,1,0,ODI,Bowling,Bowling
Mohammad Nawaz (3) (PAK),2016-2019,15,15,699,607,17.0,4/42,35.7,5.21,41.1,1,0,ODI,Bowling,Bowling
J Nyumbu (ZIM),2014-2015,19,18,844,738,17.0,3/42,43.41,5.24,49.6,0,0,ODI,Bowling,Bowling
PADLR Sandakan (SL),2016-2019,21,20,961,1031,17.0,4/52,60.64,6.43,56.5,1,0,ODI,Bowling,Bowling
A Shahzad (ENG),2010-2011,11,11,588,490,17.0,3/41,28.82,5.0,34.5,0,0,ODI,Bowling,Bowling
PM Siddle (AUS),2009-2019,20,19,901,743,17.0,3/55,43.7,4.94,53.0,0,0,ODI,Bowling,Bowling
J Theron (SA/USA),2010-2019,9,9,412,379,17.0,5/44,22.29,5.51,24.2,0,1,ODI,Bowling,Bowling
Aizaz Khan (HKG),2014-2018,19,19,728,680,16.0,2/26,42.5,5.6,45.5,0,0,ODI,Bowling,Bowling
Asif Iqbal (PAK),1973-1979,10,10,592,378,16.0,4/56,23.62,3.83,37.0,1,0,ODI,Bowling,Bowling
JP Behrendorff (AUS),2019-2019,11,11,591,517,16.0,5/44,32.31,5.24,36.9,0,1,ODI,Bowling,Bowling
SM Boland (AUS),2016-2016,14,13,716,725,16.0,3/67,45.31,6.07,44.7,0,0,ODI,Bowling,Bowling
GR Codrington (CAN),2006-2007,17,17,731,577,16.0,4/33,36.06,4.73,45.6,1,0,ODI,Bowling,Bowling
CD de Lange (SCOT),2016-2017,13,12,546,371,16.0,5/60,23.18,4.07,34.1,0,1,ODI,Bowling,Bowling
Ehsan Nawaz (HKG),2014-2018,12,12,513,458,16.0,4/47,28.62,5.35,32.0,2,0,ODI,Bowling,Bowling
GJ Gilmour (AUS),1974-1975,5,5,320,165,16.0,6/14,10.31,3.09,20.0,0,2,ODI,Bowling,Bowling
PJC Hoffmann (SCOT),2006-2007,18,17,743,555,16.0,3/22,34.68,4.48,46.4,0,0,ODI,Bowling,Bowling
SHU Karnain (SL),1984-1990,19,14,635,505,16.0,5/26,31.56,4.77,39.6,0,1,ODI,Bowling,Bowling
DE Malcolm (ENG),1990-1994,10,10,526,404,16.0,3/40,25.25,4.6,32.8,0,0,ODI,Bowling,Bowling
S Matsikenyeri (ZIM),2002-2015,113,38,920,778,16.0,2/25,48.62,5.07,57.5,0,0,ODI,Bowling,Bowling
JL Pattinson (AUS),2011-2015,15,15,727,681,16.0,4/51,42.56,5.62,45.4,1,0,ODI,Bowling,Bowling
BS Sandhu (INDIA),1982-1984,22,21,1110,763,16.0,3/27,47.68,4.12,69.3,0,0,ODI,Bowling,Bowling
RR Sarwan (WI),2000-2013,181,25,581,586,16.0,3/31,36.62,6.05,36.3,0,0,ODI,Bowling,Bowling
MC Sorensen (IRE),2013-2016,13,12,543,520,16.0,4/40,32.5,5.74,33.9,1,0,ODI,Bowling,Bowling
RJW Topley (ENG),2015-2016,10,10,463,410,16.0,4/50,25.62,5.31,28.9,1,0,ODI,Bowling,Bowling
RJ Trott (BMUDA),2007-2009,11,11,537,412,16.0,4/46,25.75,4.6,33.5,1,0,ODI,Bowling,Bowling
MP Vaughan (ENG),2001-2007,86,28,796,649,16.0,4/22,40.56,4.89,49.7,1,0,ODI,Bowling,Bowling
R Vijay Bharadwaj (INDIA),1999-2002,10,9,372,307,16.0,3/34,19.18,4.95,23.2,0,0,ODI,Bowling,Bowling
Zakir Khan (PAK),1984-1990,17,16,646,494,16.0,4/19,30.87,4.58,40.3,1,0,ODI,Bowling,Bowling
MR Adair (IRE),2019-2019,9,9,484,509,15.0,4/19,33.93,6.3,32.2,2,0,ODI,Bowling,Bowling
KK Ahmed (INDIA),2018-2019,11,11,480,465,15.0,3/13,31.0,5.81,32.0,0,0,ODI,Bowling,Bowling
PJW Allott (ENG),1982-1985,13,13,819,552,15.0,3/41,36.8,4.04,54.6,0,0,ODI,Bowling,Bowling
CJA Amini (PNG),2014-2019,15,15,732,560,15.0,4/27,37.33,4.59,48.8,1,0,ODI,Bowling,Bowling
Azeem Hafeez (PAK),1983-1985,15,14,719,586,15.0,4/22,39.06,4.89,47.9,1,0,ODI,Bowling,Bowling
SL Boock (NZ),1978-1987,14,13,700,513,15.0,3/28,34.2,4.39,46.6,0,0,ODI,Bowling,Bowling
DCC Borden (BMUDA),2006-2008,12,12,411,392,15.0,4/30,26.13,5.72,27.4,1,0,ODI,Bowling,Bowling
Danish Kaneria (PAK),2001-2007,18,18,854,683,15.0,3/31,45.53,4.79,56.9,0,0,ODI,Bowling,Bowling
G Dymock (AUS),1974-1980,15,14,806,412,15.0,2/21,27.46,3.06,53.7,0,0,ODI,Bowling,Bowling
TCB Fernando (SL),2001-2003,17,17,700,586,15.0,5/67,39.06,5.02,46.6,0,1,ODI,Bowling,Bowling
KD Ghavri (INDIA),1975-1981,19,19,1033,708,15.0,3/40,47.2,4.11,68.8,0,0,ODI,Bowling,Bowling
S Lamichhane (NEPAL),2018-2019,6,6,319,222,15.0,4/24,14.8,4.17,21.2,2,0,ODI,Bowling,Bowling
NC McGarrell (WI),1998-2001,17,17,859,681,15.0,3/32,45.4,4.75,57.2,0,0,ODI,Bowling,Bowling
KH MacLeay (AUS),1983-1987,16,16,857,626,15.0,6/39,41.73,4.38,57.1,0,1,ODI,Bowling,Bowling
GH O'Brien (BMUDA),2006-2008,9,9,456,405,15.0,3/31,27.0,5.32,30.4,0,0,ODI,Bowling,Bowling
SS Pathirana (SL),2015-2017,18,18,765,720,15.0,3/37,48.0,5.64,51.0,0,0,ODI,Bowling,Bowling
SM Patil (INDIA),1980-1986,45,20,864,589,15.0,2/28,39.26,4.09,57.6,0,0,ODI,Bowling,Bowling
Rajin Saleh (BDESH),2003-2006,43,19,539,459,15.0,4/16,30.6,5.1,35.9,1,0,ODI,Bowling,Bowling
AK Sharma (INDIA),1988-1993,31,29,1140,875,15.0,3/41,58.33,4.6,76.0,0,0,ODI,Bowling,Bowling
L Sivaramakrishnan (INDIA),1985-1987,16,16,756,538,15.0,3/35,35.86,4.26,50.4,0,0,ODI,Bowling,Bowling
CT Tremlett (ENG),2005-2011,15,15,784,705,15.0,4/32,47.0,5.39,52.2,1,0,ODI,Bowling,Bowling
JTC Vaughan (NZ),1992-1996,18,17,696,524,15.0,4/33,34.93,4.51,46.4,1,0,ODI,Bowling,Bowling
UWMBCA Welegedara (SL),2009-2010,10,9,457,433,15.0,5/66,28.86,5.68,30.4,0,1,ODI,Bowling,Bowling
LJ Wright (ENG),2007-2014,50,37,1038,884,15.0,2/34,58.93,5.1,69.2,0,0,ODI,Bowling,Bowling
JO Angara (KENYA),1997-2003,17,15,588,569,14.0,3/30,40.64,5.8,42.0,0,0,ODI,Bowling,Bowling
Anshuman Rath (HKG),2014-2018,18,7,337,167,14.0,3/22,11.92,2.97,24.0,0,0,ODI,Bowling,Bowling
F Behardien (SA),2013-2018,59,35,748,719,14.0,3/19,51.35,5.76,53.4,0,0,ODI,Bowling,Bowling
DE Bernard (WI),2003-2010,20,17,624,526,14.0,3/32,37.57,5.05,44.5,0,0,ODI,Bowling,Bowling
GS Blewett (AUS),1995-1999,32,24,749,646,14.0,2/6,46.14,5.17,53.5,0,0,ODI,Bowling,Bowling
S Chanderpaul (WI),1994-2011,268,28,740,636,14.0,3/18,45.42,5.15,52.8,0,0,ODI,Bowling,Bowling
GJ Cosier (AUS),1975-1979,9,8,409,248,14.0,5/18,17.71,3.63,29.2,0,1,ODI,Bowling,Bowling
JWM Dalrymple (ENG),2006-2007,27,23,840,666,14.0,2/5,47.57,4.75,60.0,0,0,ODI,Bowling,Bowling
Enamul Haque jnr (BDESH),2005-2009,10,10,576,422,14.0,3/16,30.14,4.39,41.1,0,0,ODI,Bowling,Bowling
UC Hathurusingha (SL),1992-1999,35,25,954,709,14.0,4/57,50.64,4.45,68.1,1,0,ODI,Bowling,Bowling
Jalal-ud-Din (PAK),1982-1983,8,7,306,211,14.0,4/32,15.07,4.13,21.8,1,0,ODI,Bowling,Bowling
SKW Kelly (BMUDA),2006-2009,10,10,389,371,14.0,3/36,26.5,5.72,27.7,0,0,ODI,Bowling,Bowling
D Mongia (INDIA),2001-2007,57,21,640,571,14.0,3/31,40.78,5.35,45.7,0,0,ODI,Bowling,Bowling
Mosaddek Hossain (BDESH),2016-2019,35,33,902,787,14.0,3/13,56.21,5.23,64.4,0,0,ODI,Bowling,Bowling
A Nao (PNG),2017-2019,13,13,613,495,14.0,3/40,35.35,4.84,43.7,0,0,ODI,Bowling,Bowling
JD Nel (SCOT),2006-2010,19,19,730,649,14.0,4/25,46.35,5.33,52.1,1,0,ODI,Bowling,Bowling
IE O'Brien (NZ),2008-2009,10,10,453,488,14.0,3/68,34.85,6.46,32.3,0,0,ODI,Bowling,Bowling
Rahmat Shah (AFG),2013-2019,73,26,524,504,14.0,5/32,36.0,5.77,37.4,0,1,ODI,Bowling,Bowling
Rumman Raees (PAK),2017-2018,9,9,463,464,14.0,3/49,33.14,6.01,33.0,0,0,ODI,Bowling,Bowling
JA Snow (ENG),1971-1975,9,8,538,232,14.0,4/11,16.57,2.58,38.4,2,0,ODI,Bowling,Bowling
Sohrawordi Shuvo (BDESH),2010-2011,17,17,762,572,14.0,3/14,40.85,4.5,54.4,0,0,ODI,Bowling,Bowling
SA Ankola (INDIA),1989-1997,20,20,807,615,13.0,3/33,47.3,4.57,62.0,0,0,ODI,Bowling,Bowling
MP Bicknell (ENG),1990-1991,7,7,413,347,13.0,3/55,26.69,5.04,31.7,0,0,ODI,Bowling,Bowling
KD Boyce (WI),1973-1975,8,8,470,313,13.0,4/50,24.07,3.99,36.1,1,0,ODI,Bowling,Bowling
ST Clarke (WI),1978-1982,10,10,524,245,13.0,3/22,18.84,2.8,40.3,0,0,ODI,Bowling,Bowling
PC Connell (IRE),2008-2010,13,12,564,518,13.0,3/68,39.84,5.51,43.3,0,0,ODI,Bowling,Bowling
TLW Cooper (NL),2010-2013,23,19,553,438,13.0,3/11,33.69,4.75,42.5,0,0,ODI,Bowling,Bowling
PWH de Silva (SL),2017-2019,12,12,403,429,13.0,3/15,33.0,6.38,31.0,0,0,ODI,Bowling,Bowling
Hamza Tahir (SCOT),2019-2019,6,6,338,228,13.0,5/38,17.53,4.04,26.0,1,1,ODI,Bowling,Bowling
MN Hart (NZ),1994-2002,13,12,572,373,13.0,5/22,28.69,3.91,44.0,0,1,ODI,Bowling,Bowling
RS Higgins (ZIM),2006-2006,11,11,544,380,13.0,4/21,29.23,4.19,41.8,1,0,ODI,Bowling,Bowling
Ijaz Faqih (PAK),1980-1988,27,25,1116,819,13.0,4/43,63.0,4.4,85.8,1,0,ODI,Bowling,Bowling
CBRLS Kumara (SL),2017-2019,13,13,544,623,13.0,2/26,47.92,6.87,41.8,0,0,ODI,Bowling,Bowling
Majid Khan (PAK),1973-1982,23,15,658,374,13.0,3/27,28.76,3.41,50.6,0,0,ODI,Bowling,Bowling
AD Mascarenhas (ENG),2007-2009,20,20,822,634,13.0,3/23,48.76,4.62,63.2,0,0,ODI,Bowling,Bowling
Minhajul Abedin (BDESH),1986-1999,27,18,546,511,13.0,2/39,39.3,5.61,42.0,0,0,ODI,Bowling,Bowling
Mohammad Hussain (PAK),1997-1998,14,13,672,547,13.0,4/33,42.07,4.88,51.6,1,0,ODI,Bowling,Bowling
SN Netravalkar (USA),2019-2019,9,9,403,210,13.0,5/32,16.15,3.12,31.0,0,1,ODI,Bowling,Bowling
ASA Perera (SL),1998-2001,20,18,579,522,13.0,2/25,40.15,5.4,44.5,0,0,ODI,Bowling,Bowling
MDK Perera (SL),2007-2018,13,10,456,409,13.0,3/48,31.46,5.38,35.0,0,0,ODI,Bowling,Bowling
DJ Reekers (NL),2006-2009,19,13,510,436,13.0,3/54,33.53,5.12,39.2,0,0,ODI,Bowling,Bowling
JB Reva (PNG),2016-2018,9,9,405,357,13.0,3/40,27.46,5.28,31.1,0,0,ODI,Bowling,Bowling
Sharafuddin Ashraf (AFG),2014-2019,17,17,764,559,13.0,3/29,43.0,4.39,58.7,0,0,ODI,Bowling,Bowling
JN Snape (ENG),2001-2002,10,10,529,403,13.0,3/43,31.0,4.57,40.6,0,0,ODI,Bowling,Bowling
Sompal Kami (NEPAL),2018-2019,6,6,301,247,13.0,5/33,19.0,4.92,23.1,0,1,ODI,Bowling,Bowling
Tareq Aziz (BDESH),2002-2004,10,10,465,424,13.0,3/19,32.61,5.47,35.7,0,0,ODI,Bowling,Bowling
S Thuraisingam (CAN),2003-2008,10,10,421,305,13.0,4/35,23.46,4.34,32.3,1,0,ODI,Bowling,Bowling
JJ Tucker (BMUDA),2006-2009,26,21,819,701,13.0,2/23,53.92,5.13,63.0,0,0,ODI,Bowling,Bowling
JJ van der Wath (SA),2006-2007,10,10,526,551,13.0,2/21,42.38,6.28,40.4,0,0,ODI,Bowling,Bowling
P Willey (ENG),1977-1986,26,22,1031,659,13.0,3/33,50.69,3.83,79.3,0,0,ODI,Bowling,Bowling
P Wilson (AUS),1997-1998,11,11,562,450,13.0,3/39,34.61,4.8,43.2,0,0,ODI,Bowling,Bowling
Aftab Ahmed (BDESH),2004-2010,85,30,739,656,12.0,5/31,54.66,5.32,61.5,0,1,ODI,Bowling,Bowling
Ahsan Malik (NL),2011-2014,12,11,471,408,12.0,3/38,34.0,5.19,39.2,0,0,ODI,Bowling,Bowling
M Azharuddin (INDIA),1985-2000,334,24,552,479,12.0,3/19,39.91,5.2,46.0,0,0,ODI,Bowling,Bowling
WD Balaji Rao (CAN),2008-2011,10,10,474,448,12.0,4/57,37.33,5.67,39.5,1,0,ODI,Bowling,Bowling
HR Bryan (WI),1999-1999,15,15,722,518,12.0,4/24,43.16,4.3,60.1,1,0,ODI,Bowling,Bowling
IP Butchart (ZIM),1983-1995,20,16,702,640,12.0,3/57,53.33,5.47,58.5,0,0,ODI,Bowling,Bowling
ADR Campbell (ZIM),1992-2003,188,30,509,434,12.0,2/20,36.16,5.11,42.4,0,0,ODI,Bowling,Bowling
PA Desai (CAN),2010-2014,13,13,612,485,12.0,3/35,40.41,4.75,51.0,0,0,ODI,Bowling,Bowling
AB Dinda (INDIA),2010-2013,13,13,594,612,12.0,2/44,51.0,6.18,49.5,0,0,ODI,Bowling,Bowling
H Durham (BMUDA),2006-2006,9,8,400,343,12.0,4/45,28.58,5.14,33.3,1,0,ODI,Bowling,Bowling
AM Ellis (NZ),2012-2013,15,13,480,425,12.0,2/22,35.41,5.31,40.0,0,0,ODI,Bowling,Bowling
RM Ellison (ENG),1984-1986,14,14,696,510,12.0,3/42,42.5,4.39,58.0,0,0,ODI,Bowling,Bowling
AM Guruge (UAE),2014-2015,7,7,351,337,12.0,4/56,28.08,5.76,29.2,1,0,ODI,Bowling,Bowling
TM Head (AUS),2016-2018,42,26,765,737,12.0,2/22,61.41,5.78,63.7,0,0,ODI,Bowling,Bowling
PA Hitchcock (NZ),2002-2008,14,12,558,468,12.0,3/30,39.0,5.03,46.5,0,0,ODI,Bowling,Bowling
AG Hurst (AUS),1975-1979,8,7,402,203,12.0,5/21,16.91,3.02,33.5,0,1,ODI,Bowling,Bowling
Iqbal Qasim (PAK),1977-1988,15,14,664,500,12.0,3/13,41.66,4.51,55.3,0,0,ODI,Bowling,Bowling
Kabir Khan (PAK),1994-2000,10,9,371,303,12.0,2/23,25.25,4.9,30.9,0,0,ODI,Bowling,Bowling
TP Kamungozi (ZIM),2006-2015,14,13,636,548,12.0,2/36,45.66,5.16,53.0,0,0,ODI,Bowling,Bowling
Khurram Khan (UAE),2004-2015,16,11,498,432,12.0,4/32,36.0,5.2,41.5,1,0,ODI,Bowling,Bowling
RK Kleinveldt (SA),2013-2013,10,10,513,448,12.0,4/22,37.33,5.23,42.7,1,0,ODI,Bowling,Bowling
CM Kuggeleijn (NZ),1988-1989,16,16,817,604,12.0,2/31,50.33,4.43,68.0,0,0,ODI,Bowling,Bowling
GA Lamb (ZIM),2010-2011,15,15,642,467,12.0,3/45,38.91,4.36,53.5,0,0,ODI,Bowling,Bowling
SG Law (AUS),1994-1999,54,25,807,635,12.0,2/22,52.91,4.72,67.2,0,0,ODI,Bowling,Bowling
RJ McCurdy (AUS),1985-1985,11,11,515,375,12.0,3/19,31.25,4.36,42.9,0,0,ODI,Bowling,Bowling
DR Martyn (AUS),1992-2006,208,31,794,704,12.0,2/21,58.66,5.31,66.1,0,0,ODI,Bowling,Bowling
SF Mire (ZIM),2014-2019,47,19,507,515,12.0,4/43,42.91,6.09,42.2,1,0,ODI,Bowling,Bowling
SO Ngoche (KENYA),2010-2014,14,13,569,431,12.0,2/28,35.91,4.54,47.4,0,0,ODI,Bowling,Bowling
MA Parker (SCOT),2010-2010,10,10,414,327,12.0,4/33,27.25,4.73,34.5,1,0,ODI,Bowling,Bowling
RG Petrie (NZ),1990-1991,12,12,660,449,12.0,2/25,37.41,4.08,55.0,0,0,ODI,Bowling,Bowling
PWE Rawson (ZIM),1983-1987,10,10,571,427,12.0,3/47,35.58,4.48,47.5,0,0,ODI,Bowling,Bowling
JD Ryder (NZ),2008-2014,48,19,407,412,12.0,3/29,34.33,6.07,33.9,0,0,ODI,Bowling,Bowling
Simi Singh (IRE),2017-2019,15,12,570,378,12.0,3/15,31.5,3.97,47.5,0,0,ODI,Bowling,Bowling
SR Thompson (IRE),2013-2017,20,16,559,490,12.0,2/17,40.83,5.25,46.5,0,0,ODI,Bowling,Bowling
AJ Tye (AUS),2018-2018,7,7,387,392,12.0,5/46,32.66,6.07,32.2,0,1,ODI,Bowling,Bowling
I Udana (SL),2012-2019,15,15,639,631,12.0,2/41,52.58,5.92,53.2,0,0,ODI,Bowling,Bowling
KEA Upashantha (SL),1995-2001,12,12,564,481,12.0,4/37,40.08,5.11,47.0,1,0,ODI,Bowling,Bowling
RR Watson (SCOT),2006-2010,35,17,570,528,12.0,3/18,44.0,5.55,47.5,0,0,ODI,Bowling,Bowling
CL White (AUS),2005-2018,91,19,331,351,12.0,3/5,29.25,6.36,27.5,0,0,ODI,Bowling,Bowling
PJ Wiseman (NZ),1998-2003,15,13,450,368,12.0,4/45,30.66,4.9,37.5,1,0,ODI,Bowling,Bowling
Aamer Nazir (PAK),1993-1995,9,9,417,346,11.0,3/43,31.45,4.97,37.9,0,0,ODI,Bowling,Bowling
VR Aaron (INDIA),2011-2014,9,9,380,419,11.0,3/24,38.09,6.61,34.5,0,0,ODI,Bowling,Bowling
RW Ali (KENYA),1996-1997,9,9,338,255,11.0,3/17,23.18,4.52,30.7,0,0,ODI,Bowling,Bowling
Amir Hayat (UAE),2018-2019,9,9,449,382,11.0,3/19,34.72,5.1,40.8,0,0,ODI,Bowling,Bowling
LS Baker (WI),2008-2009,10,9,426,355,11.0,3/47,32.27,5.0,38.7,0,0,ODI,Bowling,Bowling
RL Chase (WI),2017-2019,25,18,641,511,11.0,3/30,46.45,4.78,58.2,0,0,ODI,Bowling,Bowling
R Clarke (ENG),2003-2006,20,14,469,415,11.0,2/28,37.72,5.3,42.6,0,0,ODI,Bowling,Bowling
HT Davis (NZ),1994-1997,11,11,432,436,11.0,4/35,39.63,6.05,39.2,1,0,ODI,Bowling,Bowling
Z Groenewald (NAM),2019-2019,4,4,198,130,11.0,5/20,11.81,3.93,18.0,0,1,ODI,Bowling,Bowling
HF Gurney (ENG),2014-2014,10,10,455,432,11.0,4/55,39.27,5.69,41.3,1,0,ODI,Bowling,Bowling
Haris Sohail (PAK),2013-2019,41,21,642,613,11.0,3/45,55.72,5.72,58.3,0,0,ODI,Bowling,Bowling
Haseeb Amjad (HKG),2014-2016,7,7,342,288,11.0,3/49,26.18,5.05,31.0,0,0,ODI,Bowling,Bowling
DW Headley (ENG),1996-1999,13,13,594,520,11.0,2/38,47.27,5.25,54.0,0,0,ODI,Bowling,Bowling
HJ Howarth (NZ),1973-1975,9,8,492,280,11.0,3/29,25.45,3.41,44.7,0,0,ODI,Bowling,Bowling
RL Johnson (ENG),2003-2003,10,9,402,239,11.0,3/22,21.72,3.56,36.5,0,0,ODI,Bowling,Bowling
