Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Format,Category,Type
KS Williamson (NZ),2010-2019,78,137,13,6379.0,242*,51.44,21,31,9,TEST,Batting,Batting
PA de Silva (SL),1984-2002,93,159,11,6361.0,267,42.97,20,22,7,TEST,Batting,Batting
MEK Hussey (AUS),2005-2013,79,137,16,6235.0,195,51.52,19,29,12,TEST,Batting,Batting
RB Kanhai (WI),1957-1974,79,137,6,6227.0,256,47.53,15,28,7,TEST,Batting,Batting
M Azharuddin (INDIA),1984-2000,99,147,9,6215.0,199,45.03,22,21,5,TEST,Batting,Batting
HH Gibbs (SA),1996-2008,90,154,7,6167.0,228,41.95,14,26,11,TEST,Batting,Batting
RN Harvey (AUS),1948-1963,79,137,10,6149.0,205,48.41,21,24,7,TEST,Batting,Batting
GR Viswanath (INDIA),1969-1983,91,155,10,6080.0,222,41.93,14,35,10,TEST,Batting,Batting
RB Richardson (WI),1983-1995,86,146,12,5949.0,194,44.39,16,27,8,TEST,Batting,Batting
Azhar Ali (PAK),2010-2019,77,146,8,5885.0,302*,42.64,16,31,14,TEST,Batting,Batting
RR Sarwan (WI),2000-2011,87,154,8,5842.0,291,40.01,15,31,12,TEST,Batting,Batting
ME Trescothick (ENG),2000-2006,76,143,10,5825.0,219,43.79,14,29,12,TEST,Batting,Batting
DCS Compton (ENG),1937-1957,78,131,15,5807.0,278,50.06,17,28,10,TEST,Batting,Batting
Saleem Malik (PAK),1982-1999,103,154,22,5768.0,237,43.69,15,29,12,TEST,Batting,Batting
N Hussain (ENG),1990-2004,96,171,16,5764.0,207,37.18,14,33,14,TEST,Batting,Batting
CL Hooper (WI),1987-2002,102,173,15,5762.0,233,36.46,13,27,13,TEST,Batting,Batting
CA Pujara (INDIA),2010-2019,75,124,8,5740.0,206*,49.48,18,24,7,TEST,Batting,Batting
MP Vaughan (ENG),1999-2008,82,147,9,5719.0,197,41.44,18,18,9,TEST,Batting,Batting
AD Mathews (SL),2009-2019,84,151,21,5704.0,160,43.87,9,34,2,TEST,Batting,Batting
AC Gilchrist (AUS),1999-2008,96,137,20,5570.0,204*,47.6,17,26,14,TEST,Batting,Batting
MV Boucher (ICC/SA),1997-2012,147,206,24,5515.0,125,30.3,5,35,17,TEST,Batting,Batting
MS Atapattu (SL),1990-2007,90,156,15,5502.0,249,39.02,16,17,22,TEST,Batting,Batting
TM Dilshan (SL),1999-2013,87,145,11,5492.0,193,40.98,16,23,14,TEST,Batting,Batting
TT Samaraweera (SL),2001-2013,81,132,20,5462.0,231,48.76,14,30,11,TEST,Batting,Batting
MD Crowe (NZ),1982-1995,77,131,11,5444.0,299,45.36,17,18,9,TEST,Batting,Batting
JB Hobbs (ENG),1908-1930,61,102,7,5410.0,211,56.94,15,28,4,TEST,Batting,Batting
KD Walters (AUS),1965-1981,74,125,14,5357.0,250,48.26,15,33,4,TEST,Batting,Batting
IM Chappell (AUS),1964-1980,75,136,10,5345.0,196,42.42,14,26,11,TEST,Batting,Batting
JG Wright (NZ),1978-1993,82,148,7,5334.0,185,37.82,12,23,7,TEST,Batting,Batting
MJ Slater (AUS),1993-2001,74,131,7,5312.0,219,42.83,14,21,9,TEST,Batting,Batting
N Kapil Dev (INDIA),1978-1994,131,184,15,5248.0,163,31.05,8,27,16,TEST,Batting,Batting
WM Lawry (AUS),1961-1971,67,123,12,5234.0,210,47.15,13,27,6,TEST,Batting,Batting
Misbah-ul-Haq (PAK),2001-2017,75,132,20,5222.0,161*,46.62,10,39,9,TEST,Batting,Batting
IT Botham (ENG),1977-1992,102,161,6,5200.0,208,33.54,14,22,14,TEST,Batting,Batting
JH Edrich (ENG),1963-1976,77,127,9,5138.0,310*,43.54,12,24,6,TEST,Batting,Batting
A Ranatunga (SL),1982-2000,93,155,12,5105.0,135*,35.69,4,38,12,TEST,Batting,Batting
Zaheer Abbas (PAK),1969-1985,78,124,11,5062.0,274,44.79,12,20,10,TEST,Batting,Batting
TW Graveney (ENG),1951-1969,79,123,13,4882.0,258,44.38,11,20,8,TEST,Batting,Batting
MS Dhoni (INDIA),2005-2014,90,144,16,4876.0,224,38.09,6,33,10,TEST,Batting,Batting
RB Simpson (AUS),1957-1978,62,111,7,4869.0,311,46.81,10,27,8,TEST,Batting,Batting
A Flower (ZIM),1992-2002,63,112,19,4794.0,232*,51.54,12,27,5,TEST,Batting,Batting
IR Redpath (AUS),1964-1976,66,120,11,4737.0,171,43.45,8,31,9,TEST,Batting,Batting
NJ Astle (NZ),1996-2006,81,137,10,4702.0,222,37.02,11,24,11,TEST,Batting,Batting
AJ Lamb (ENG),1982-1992,79,139,10,4656.0,142,36.09,14,18,9,TEST,Batting,Batting
H Sutcliffe (ENG),1924-1935,54,84,9,4555.0,194,60.73,16,23,2,TEST,Batting,Batting
DJ Cullinan (SA),1993-2001,70,115,12,4554.0,275*,44.21,14,20,10,TEST,Batting,Batting
HP Tillakaratne (SL),1989-2004,83,131,25,4545.0,204*,42.87,11,20,9,TEST,Batting,Batting
PBH May (ENG),1951-1961,66,106,9,4537.0,285*,46.77,13,22,8,TEST,Batting,Batting
DL Vettori (ICC/NZ),1997-2014,113,174,23,4531.0,140,30.0,6,23,20,TEST,Batting,Batting
Asad Shafiq (PAK),2010-2019,73,122,6,4528.0,137,39.03,12,26,13,TEST,Batting,Batting
ER Dexter (ENG),1958-1968,62,102,8,4502.0,205,47.89,9,27,6,TEST,Batting,Batting
ED Weekes (WI),1948-1958,48,81,5,4455.0,207,58.61,15,19,6,TEST,Batting,Batting
FDM Karunaratne (SL),2012-2019,64,124,4,4421.0,196,36.84,9,24,12,TEST,Batting,Batting
KJ Hughes (AUS),1977-1984,70,124,6,4415.0,213,37.41,9,22,10,TEST,Batting,Batting
MW Gatting (ENG),1978-1995,79,138,14,4409.0,207,35.55,10,21,16,TEST,Batting,Batting
DR Martyn (AUS),1992-2006,67,109,14,4406.0,165,46.37,13,23,7,TEST,Batting,Batting
AI Kallicharran (WI),1972-1981,66,109,10,4399.0,187,44.43,12,21,10,TEST,Batting,Batting
APE Knott (ENG),1967-1981,95,149,15,4389.0,135,32.75,5,30,8,TEST,Batting,Batting
M Amarnath (INDIA),1969-1988,69,113,10,4378.0,138,42.5,11,24,12,TEST,Batting,Batting
IA Healy (AUS),1988-1999,119,182,23,4356.0,161*,27.39,4,22,18,TEST,Batting,Batting
RC Fredericks (WI),1968-1977,59,109,7,4334.0,169,42.49,8,26,7,TEST,Batting,Batting
Tamim Iqbal (BDESH),2008-2019,58,112,1,4327.0,206,38.98,9,27,8,TEST,Batting,Batting
MA Butcher (ENG),1997-2004,71,131,7,4288.0,173*,34.58,8,23,10,TEST,Batting,Batting
PD Collingwood (ENG),2003-2011,68,115,10,4259.0,206,40.56,10,20,6,TEST,Batting,Batting
RA Smith (ENG),1988-1996,62,112,15,4236.0,175,43.67,9,28,8,TEST,Batting,Batting
Mushfiqur Rahim (BDESH),2005-2019,69,129,9,4210.0,219*,35.08,6,21,11,TEST,Batting,Batting
SM Katich (AUS),2001-2010,56,99,6,4188.0,157,45.03,10,25,4,TEST,Batting,Batting
G Gambhir (INDIA),2004-2016,58,104,5,4154.0,206,41.95,9,22,7,TEST,Batting,Batting
Mudassar Nazar (PAK),1976-1989,76,116,8,4114.0,231,38.09,10,17,7,TEST,Batting,Batting
AM Rahane (INDIA),2013-2019,63,105,11,4112.0,188,43.74,11,22,6,TEST,Batting,Batting
MJ Prior (ENG),2007-2014,79,123,21,4099.0,131*,40.18,7,28,13,TEST,Batting,Batting
Saeed Anwar (PAK),1990-2001,55,91,2,4052.0,188*,45.52,11,25,8,TEST,Batting,Batting
JM Bairstow (ENG),2012-2019,70,123,7,4030.0,167*,34.74,6,21,10,TEST,Batting,Batting
M Vijay (INDIA),2008-2018,61,105,1,3982.0,167,38.28,12,15,8,TEST,Batting,Batting
Majid Khan (PAK),1964-1983,63,106,5,3931.0,167,38.92,8,19,9,TEST,Batting,Batting
MN Samuels (WI),2000-2016,71,127,7,3917.0,260,32.64,7,24,14,TEST,Batting,Batting
Hanif Mohammad (PAK),1952-1969,55,97,8,3915.0,337,43.98,12,15,5,TEST,Batting,Batting
Shakib Al Hasan (BDESH),2007-2019,56,105,7,3862.0,217,39.4,5,24,4,TEST,Batting,Batting
FMM Worrell (WI),1948-1963,51,87,9,3860.0,261,49.48,9,22,11,TEST,Batting,Batting
LD Chandimal (SL),2011-2019,55,100,7,3846.0,164,41.35,11,18,4,TEST,Batting,Batting
A Flintoff (ENG/ICC),1998-2009,79,130,9,3845.0,167,31.77,5,26,17,TEST,Batting,Batting
IJL Trott (ENG),2009-2015,52,93,6,3835.0,226,44.08,9,19,8,TEST,Batting,Batting
RJ Shastri (INDIA),1981-1992,80,121,14,3830.0,206,35.79,11,12,9,TEST,Batting,Batting
Imran Khan (PAK),1971-1992,88,126,25,3807.0,136,37.69,6,18,8,TEST,Batting,Batting
F du Plessis (SA),2012-2019,62,106,14,3799.0,137,41.29,9,21,9,TEST,Batting,Batting
CL Walcott (WI),1948-1960,44,74,7,3798.0,220,56.68,15,14,1,TEST,Batting,Batting
BA Stokes (ENG),2013-2019,60,110,4,3787.0,258,35.72,8,20,12,TEST,Batting,Batting
SM Pollock (SA),1995-2008,108,156,39,3781.0,111,32.31,2,16,9,TEST,Batting,Batting
SR Watson (AUS),2005-2015,59,109,3,3731.0,176,35.19,4,24,6,TEST,Batting,Batting
WJ Cronje (SA),1992-2000,68,111,9,3714.0,135,36.41,6,23,11,TEST,Batting,Batting
D Elgar (SA),2012-2019,60,104,9,3666.0,199,38.58,12,13,10,TEST,Batting,Batting
AG Prince (SA),2002-2011,66,104,16,3665.0,162*,41.64,11,11,7,TEST,Batting,Batting
Mohammad Hafeez (PAK),2003-2018,55,105,8,3652.0,224,37.64,10,12,8,TEST,Batting,Batting
Mushtaq Mohammad (PAK),1959-1979,57,100,7,3643.0,201,39.17,10,19,4,TEST,Batting,Batting
RW Marsh (AUS),1970-1984,96,150,13,3633.0,132,26.51,3,16,12,TEST,Batting,Batting
DM Jones (AUS),1984-1992,52,89,11,3631.0,216,46.55,11,14,11,TEST,Batting,Batting
PR Umrigar (INDIA),1948-1962,59,94,8,3631.0,223,42.22,12,14,5,TEST,Batting,Batting
BJ Watling (NZ),2009-2019,67,106,15,3616.0,205,39.73,8,18,9,TEST,Batting,Batting
DL Amiss (ENG),1966-1977,50,88,10,3612.0,262*,46.3,11,11,10,TEST,Batting,Batting
AW Greig (ENG),1972-1977,58,93,4,3599.0,148,40.43,8,20,5,TEST,Batting,Batting
Asif Iqbal (PAK),1964-1980,58,99,7,3575.0,175,38.85,11,12,9,TEST,Batting,Batting
TWM Latham (NZ),2014-2019,49,86,3,3554.0,264*,42.81,11,16,8,TEST,Batting,Batting
AR Morris (AUS),1946-1955,46,79,3,3533.0,206,46.48,12,12,4,TEST,Batting,Batting
EH Hendren (ENG),1920-1935,51,83,9,3525.0,205*,47.63,7,21,4,TEST,Batting,Batting
DM Bravo (WI),2010-2019,54,98,5,3506.0,218,37.69,8,17,5,TEST,Batting,Batting
KC Brathwaite (WI),2011-2019,59,112,7,3496.0,212,33.29,8,17,12,TEST,Batting,Batting
